Station;Fuseau;Chronique;unite
PIZ;UTC+00;HT;cm
DateHeure;valeur;qualite
10/07/2024 07:50;60.5;v
10/07/2024 07:55;60.3;v
10/07/2024 08:15;60.3;v
10/07/2024 09:10;59.6;v
10/07/2024 11:30;59.0;v
10/07/2024 12:20;58.0;v
10/07/2024 14:15;57.3;v
10/07/2024 15:50;56.1;v
10/07/2024 16:55;55.7;v
10/07/2024 18:10;54.8;v
10/07/2024 18:50;54.5;v
10/07/2024 19:00;54.6;v
10/07/2024 19:05;54.4;v
10/07/2024 19:35;54.3;v
10/07/2024 19:40;54.1;v
10/07/2024 20:30;54.0;v
10/07/2024 20:35;54.4;v
10/07/2024 20:45;54.2;v
10/07/2024 20:50;54.9;v
10/07/2024 21:10;55.4;v
10/07/2024 21:25;54.8;v
10/07/2024 21:55;54.5;v
10/07/2024 22:10;54.9;v
10/07/2024 22:30;56.4;v
10/07/2024 22:50;56.7;v
10/07/2024 22:55;56.9;v
10/07/2024 23:05;57.5;v
10/07/2024 23:15;57.7;v
10/07/2024 23:45;56.9;v
11/07/2024 00:00;57.3;v
11/07/2024 00:15;57.3;v
11/07/2024 00:45;56.2;v
11/07/2024 01:05;55.8;v
11/07/2024 01:15;55.7;v
11/07/2024 01:25;55.4;v
11/07/2024 01:50;55.0;v
11/07/2024 02:25;54.7;v
11/07/2024 03:15;54.7;v
11/07/2024 04:00;54.4;v
11/07/2024 04:15;54.6;v
11/07/2024 04:20;54.4;v
11/07/2024 05:20;54.4;v
11/07/2024 05:25;54.3;v
11/07/2024 05:40;54.4;v
11/07/2024 06:00;54.2;v
11/07/2024 07:35;54.0;v
11/07/2024 07:40;53.9;v
11/07/2024 07:55;54.0;v
11/07/2024 08:20;53.8;v
11/07/2024 10:15;53.7;v
11/07/2024 10:55;53.5;v
11/07/2024 12:10;53.4;v
11/07/2024 12:40;53.2;v
11/07/2024 13:00;53.3;v
11/07/2024 13:25;53.1;v
11/07/2024 13:35;53.3;v
11/07/2024 13:40;53.1;v
11/07/2024 14:45;53.0;v
11/07/2024 15:00;52.9;v
11/07/2024 15:05;52.8;v
11/07/2024 16:10;52.7;v
11/07/2024 16:20;52.0;v
11/07/2024 16:25;52.2;v
11/07/2024 16:30;53.1;v
11/07/2024 16:40;55.6;v
11/07/2024 16:45;55.5;v
11/07/2024 16:50;55.7;v
11/07/2024 17:00;55.7;v
11/07/2024 17:20;56.1;v
11/07/2024 17:30;57.0;v
11/07/2024 17:35;58.8;v
11/07/2024 17:40;62.3;v
11/07/2024 17:45;64.4;v
11/07/2024 17:55;66.0;v
11/07/2024 18:00;68.8;v
11/07/2024 18:05;72.2;v
11/07/2024 18:10;74.7;v
11/07/2024 18:15;75.7;v
11/07/2024 18:20;75.6;v
11/07/2024 18:30;73.9;v
11/07/2024 18:40;72.8;v
11/07/2024 18:50;71.8;v
11/07/2024 18:55;71.5;v
11/07/2024 19:05;71.4;v
11/07/2024 19:10;71.5;v
11/07/2024 19:20;72.0;v
11/07/2024 19:30;72.0;v
11/07/2024 19:50;70.9;v
11/07/2024 20:05;69.6;v
11/07/2024 20:15;68.5;v
11/07/2024 20:35;66.8;v
11/07/2024 21:25;64.0;v
11/07/2024 21:30;64.0;v
11/07/2024 21:50;64.3;v
11/07/2024 22:05;63.9;v
11/07/2024 22:25;63.0;v
11/07/2024 22:55;62.9;v
11/07/2024 23:20;62.4;v
12/07/2024 00:20;61.6;v
12/07/2024 00:30;61.3;v
12/07/2024 00:40;61.3;v
12/07/2024 00:45;61.0;v
12/07/2024 01:00;61.0;v
12/07/2024 01:05;60.7;v
12/07/2024 01:45;60.3;v
12/07/2024 01:55;60.3;v
12/07/2024 02:45;59.4;v
12/07/2024 03:10;59.3;v
12/07/2024 03:20;59.1;v
12/07/2024 03:40;59.0;v
12/07/2024 03:50;58.7;v
12/07/2024 05:05;58.1;v
12/07/2024 05:30;58.1;v
12/07/2024 05:40;57.8;v
12/07/2024 05:45;57.9;v
12/07/2024 06:05;57.7;v
12/07/2024 06:50;57.7;v
12/07/2024 06:55;57.5;v
12/07/2024 07:25;57.4;v
12/07/2024 08:15;57.7;v
12/07/2024 08:20;57.9;v
12/07/2024 08:35;58.1;v
12/07/2024 09:05;58.1;v
12/07/2024 09:45;58.9;v
12/07/2024 10:20;59.0;v
12/07/2024 11:25;58.6;v
12/07/2024 11:40;58.4;v
12/07/2024 11:55;58.4;v
12/07/2024 12:20;58.1;v
12/07/2024 13:05;58.0;v
12/07/2024 13:10;57.8;v
12/07/2024 13:55;57.5;v
12/07/2024 14:00;57.7;v
12/07/2024 14:10;57.4;v
12/07/2024 14:45;57.4;v
12/07/2024 16:20;56.4;v
12/07/2024 16:55;56.3;v
12/07/2024 17:15;56.1;v
12/07/2024 18:00;56.0;v
12/07/2024 18:10;55.8;v
12/07/2024 18:50;55.7;v
12/07/2024 19:05;55.5;v
12/07/2024 19:55;55.3;v
12/07/2024 20:05;55.1;v
12/07/2024 22:10;55.0;v
12/07/2024 22:30;54.8;v
12/07/2024 23:55;54.9;v
13/07/2024 00:20;54.7;v
13/07/2024 01:25;54.6;v
13/07/2024 02:05;54.7;v
13/07/2024 02:15;54.5;v
13/07/2024 02:20;54.7;v
13/07/2024 02:25;54.6;v
13/07/2024 03:05;54.7;v
